Faculty Name,Categories,All Keywords
Edward Marram,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare, Law, Sustainability, Technology",entrepreneurial performance; corporate governance; venture capital financing; entrepreneurship education; human assets management; small business entrepreneurship; case study methodology; survey research; statistical modeling; longitudinal analysis; empirical research; quantitative analysis; cleantech ventures; healthcare governance; defense technology; small business development; higher education management; cleantech sustainability; entrepreneurship professionalization; birthdate bias; government funding startups; green investment sustainability
Eliana Crosina,"Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Entrepreneurial Identity; New Venture Strategy; Entrepreneurship Education; Entrepreneurial Ecosystems; Identity Dynamics; Qualitative Research; Experiential Learning; Conceptual Modeling; Thematic Analysis; New Venture Creation; Startup Ecosystems; Entrepreneurship Training; Founder-Venture Identity Dynamics; Community Entrepreneurship; Experiential Entrepreneurship Education; Identity-Driven Strategy
Elizabeth Milano,Leadership & Organizational Development,Rocky Intertidal Ecology; Community Ecology; Marine Biology; Oceanography; Global Change Biology; Field Manipulative Experiments; Herbivory Assays; Predation Experiments; Light Penetration Measurements; Benthic Surveys; Coastal Management; Marine Conservation; Environmental Monitoring; Fisheries Management; Context-Dependent Dynamics; Ecosystem Resilience; Latitudinal Variation Studies; Anthropogenic Disturbance Ecology
Elizabeth Randall,"Finance, Finance & Economics, Technology",Fixed Income; Portfolio Management; Investment Management; Risk Management; Corporate Finance; Financial Modeling; Quantitative Analysis; Econometric Analysis; Time Series Analysis; Endowment Management; Institutional Investment; Asset Management; Investment Strategies; 
Elizabeth Swanson,"Humanities & Cultural Studies, Sustainability, Technology",African American literature; international literature; human rights; cultural studies; literary analysis; narrative analysis; discourse analysis; qualitative case study; oral history methodologies; archival research; human rights NGOs; anti-slavery advocacy; human trafficking prevention; diversity equity inclusion; non-profit management; visual testimony analysis; trauma-informed pedagogy; sustainability curriculum design; digital activism; chronotope analysis
Elizabeth Young,Humanities & Cultural Studies,Creative Writing; Composition Studies; English Literature; Adult Literacy; Writing Pedagogy; Literary Analysis; Workshop-Based Instruction; Research Writing Methods; Adult Literacy Programs; Higher Education Teaching; Publishing Industry; 
Ellen Milimu,"Law, Leadership & Organizational Development, Marketing, Technology",sports sociology; African sports studies; community development; political economy of sport; sports and social change; ethnographic fieldwork; case study methodology; content analysis; social media analytics; community-based sports; sports media outreach; nonprofit sports development; social inclusion programs; sport for development and peace; digital sports diplomacy; global sports governance
Ellie Kyung,"Finance, Leadership & Organizational Development, Marketing, Technology",consumer behavior; decision making processes; mental representation; scale design; magnitude judgments; psychophysical scaling; experimental design; survey methodology; response scale design; interface prototyping; survey design; technology interface; communication design; marketing strategy; identity-based risk perception; AI in government; reproducibility in management science; mental mapping of magnitude
Emily Griffin,"Data, Operations & Supply Chain, Finance, Marketing, Operations, Retail, Technology",Operations Management; Supply Chain Management; Inventory Optimization; Pricing Optimization; Supply Chain Analytics; Operations Research; Data Science; Mathematical Optimization; Analytical Modeling; Clustering Algorithms; Simulation Modeling; Resale Supply Chains; Wildlife Trafficking Supply Chains; Retail Inventory Management; E-commerce Fulfillment; Stadium Seating Optimization; Supply Chain Interdiction; Wildlife Trafficking Analytics; Conservation Analytics; Interdisciplinary Network Analysis
Emily Rosado,"Healthcare, Leadership & Organizational Development, Technology",Workplace mental health; Organizational behavior; Interpersonal workplace relations; Human capital networks; Occupational health psychology; Social network analysis; Systematic literature review; Quantitative survey research; Mixed methods research; Remote work settings; Employee assistance programs; Diversity management; Corporate workplace interventions; Virtual team dynamics; Workplace social rituals; Relational identity theory; Mental illness disclosure
Eric Palson,"Leadership & Organizational Development, Marketing, Technology",Educational technology; Instructional design; Online and blended learning; User experience design; Web development; Design thinking; Learning management systems; Video editing tools; Virtual collaboration platforms; Graphic design software; Higher education; E-learning consulting; Corporate training; Faculty development; Digital marketing; Virtual reality learning; Adaptive learning systems; Immersive learning environments; Learning analytics; AI-enhanced instruction
Eric Wai,"Economics, Leadership & Organizational Development, Technology",Education Economics; Labor Economics; Housing Policy; Policy Evaluation; Family Outcomes; Randomized Controlled Trials; Quasi-experimental Design; Causal Inference; Machine Learning; Text Classification; Image Categorization; K-12 Education; Low-income Housing; Preschool Access; Workforce Policy; Parental Engagement; AI-driven Policy Analysis; Causal Machine Learning; Text Mining; Image Classification; Digital Education Interventions
Erik Noyes,"Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology",Entrepreneurship Education; Innovation Management; Technology Entrepreneurship; Interdisciplinary Innovation; AI-driven Prototyping; Design Thinking; Experiential Learning Methods; Interdisciplinary Lab Development; Pedagogical Frameworks; Healthcare Innovation; Mobile Computing; Consumer Electronics; Sensing Systems; Automotive Design; AI-driven Business Models; Interdisciplinary AI Labs; Venture Studio Ecosystems; Maker Movement Studies
Erin Degnan,"Finance, Finance & Economics, Law, Technology",Real Estate Finance; Real Estate Law; Real Estate Development; Commercial Litigation; Housing Markets; Financial Modeling; Real Estate Analytics; Market Analysis; Transaction Structuring; Legal Research; Residential Real Estate; Commercial Real Estate; Land Development; Home Building; Real Estate Brokerage; DEI in Real Estate; Real Estate Pedagogy; Gender and Sexuality Law
Farbod Farhadi,"Data, Operations & Supply Chain, Healthcare, Operations, Technology",Operations Research; Mathematical Programming; Data Science; Healthcare Operations; Transportation Systems; Predictive Modeling; Genetic Algorithms; Branch-and-Price; Business Intelligence; Bibliometric Analysis; Healthcare Scheduling; Airline Operations; Transportation Logistics; Economic Forecasting; Public Sector Consulting; Complex Network Optimization; Human-Centric Scheduling; Pandemic Response Analytics; Location-Allocation Problems
Fiona Jevon,"Economics, Innovation & Strategy, Law, Technology",Peace and Security Studies; Transitional Justice; Migration Studies; International Relations; Natural Resource Governance; African Studies; Human Security Framework; Qualitative Case Study; Policy Analysis; Qualitative Interviews; Comparative Legal Analysis; Refugee Policy Implementation; Witness Protection Programs; ICC Outreach Strategies; Security Governance Reform; Practice-based Leadership Research; Digital Outreach Programming; Human Security Innovation; Conflict Resource Governance
Frederick Opie,"Humanities & Cultural Studies, Technology",African Diaspora History; Southern Foodways; American Cultural History; Civil Rights History; Archival Research; Oral History; Documentary Production; Ethnographic Methods; Public History Outreach; Food Media Production; Culinary Tourism; Museum Curation; Food Justice Studies; Digital Humanities; Gastronomic Anthropology; Media History Research
Gabrielle Clemens,"Entrepreneurship, Finance, Innovation & Strategy, Retail, Technology",Strategic Management; Entrepreneurship; Corporate Strategy; Entrepreneurial Leadership; Venture Capital; Global Entrepreneurship; Generative AI; Case Study Method; Strategic Decision Making; Management Consulting Fieldwork; Digital Strategy; Retail Strategy; Internet Software; Online Marketplaces; Digital Media; Financial Services; Industrial Marketplaces; Startup Ecosystem Development; City-Based Startup Competitiveness; AI-Driven Retail Transformation; Peer-to-Peer Lending; Digital Transformation
Ganesan Shankaranarayanan,"Data, Operations & Supply Chain, Law, Operations, Technology",Information systems; Data management; Metadata modeling; Data quality; Decision support systems; Generative AI; Game theoretic modeling; Blockchain technology; Collective intelligence analysis; Data quality assessment; Supply chain management; Educational technology; Virtual group collaboration; Innovation management; Generative AI in education; Blockchain supply chain; Online collective intelligence; Economic data governance
Gary Ottley,"Entrepreneurship, Marketing, Marketing & Consumer Behavior, Technology",Socially-conscious marketing; Marketing strategy; Marketing pedagogy; Societal marketing; Social media analytics; Case study methodology; Survey research; Pedagogical frameworks; Consumer electronics; Food and beverage; B2C marketing; Entrepreneurial marketing; Brand activism; Culture wars marketing; Blended learning; Digital marketing pedagogy
Gaurab Bhardwaj,"Entrepreneurship, Healthcare, Innovation & Strategy",Strategic problem solving; Corporate decision making; Innovation management; Corporate entrepreneurship; Societal problem solving; Field research; Historical research methods; Case study methodology; Narrative analysis; Decision-making frameworks; Open innovation methods; Pharmaceutical R&D; Chemical industry; Executive education; Corporate strategy; Community health; Social innovation; Open-source health solutions; Business of humanity; Interdisciplinary problem solving; Imagination-based learning
Gene Kovacs,"Accounting, Accounting, Law & Governance, Economics, Finance, Law, Technology",Accounting; Financial Accounting; Financial Statement Analysis; Corporate Taxation; Economic Consulting; Equity Research; Auditing; Financial Modeling; Event Study Analysis; Damage Quantification; Capital Markets; Economic Damages; Corporate Governance; Mergers & Acquisitions; Tax Policy Analysis; Universal Basic Buybacks; Post-TCJA Tax Analysis; Corporate Share Repurchases
George Recck,"Data, Operations & Supply Chain, Operations, Technology",Business Analytics; Educational Technology; Sports Analytics; Statistics Education; Quality Technology; Computational Methods; Computer-Assisted Assessment; Activity-Based Instruction; Survey Methodology; Learning Analytics; K-12 School Ranking; Fantasy Sports Analytics; Academic Support Services; Quality Control Processes; Operations Management; Educational Data Mining; Adaptive Assessment Systems; University Analytics Centers; Sports Performance Modeling; Statistical Education Innovation
George Steblovsky,"Data, Operations & Supply Chain, Finance, Operations, Technology",Applied Mathematics; Data Analytics; Quantitative Methods; Mathematical Modeling; Statistical Modeling; Optimization Algorithms; Data Visualization; Simulation Techniques; Business Analytics; Financial Modeling; Supply Chain Optimization; Operations Research; Machine Learning; Predictive Analytics; Artificial Intelligence; Big Data Science
Gina O'Connor,"Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology",Breakthrough Innovation; Corporate Entrepreneurship; Innovation Management; Organizational Design for Innovation; Technology Management; Strategic Framework Development; Systematic Literature Review; Strategic Alliance Analysis; Capability Assessment; Healthcare Management; Product Development; Higher Education; Industrial Marketing; Radical Innovation; Corporate-Startup Collaboration; Employee-Driven Entrepreneurship; Innovation Intent Leadership
Glenn Migliozzi,"Finance, Finance & Economics, Sustainability, Technology",Corporate Finance; Fixed Income; Alternative Investments; Financial Literacy; Business Ethics; Credit Risk Modeling; Quantitative Portfolio Optimization; Structured Products Analysis; Financial Modeling; Asset Management; Hedge Fund Strategies; Corporate Finance Advisory; Nonprofit Investment; Financial Education; ESG Integration; Impact Investing; Sustainable Finance
Gregory Doukas,"Economics, Humanities & Cultural Studies",Political Theory; Decolonial Philosophy; African Philosophy; Existentialism; Postcolonial Studies; Global Affairs; Comparative Philosophy; Hermeneutic Analysis; Critical Theory; Normative Analysis; Deconstructive Method; Higher Education; Public Policy; International Relations; Curriculum Development; Cultural Studies; Creolizing Thought; World Philosophies; Mexican Existentialism; Transnational Feminist Thought
Heather Markey,"Accounting, Law & Governance, Economics, Finance, Law",Tax law; Estate planning; Business ethics; Financial planning; Wealth management; Doctrinal legal analysis; Policy analysis; Case study methodology; Normative ethical analysis; Wealth management services; Tax advisory; Estate planning services; Financial services industry; 
Heidi Neck,"Entrepreneurship, Entrepreneurship & Small Ventures, Sustainability, Technology",entrepreneurship education; entrepreneurial mindset; social entrepreneurship; creativity in entrepreneurship; entrepreneurial learning; case study method; action learning; design thinking; fuzzy-set qualitative analysis; experiential learning; corporate entrepreneurship; venture capital financing; small business development; social ventures; effectuation theory; entrepreneurial ecosystems; entrepreneurial storytelling; sustainability education; entrepreneurship education technology
Helenka Nolan,"Finance, Finance & Economics, Law, Sustainability, Technology",Renewable energy; Financial performance; Business ethics; Corporate sustainability; Econometric modeling; Regression analysis; Panel data analysis; Statistical correlation; Renewable energy sector; Corporate energy management; Utility companies; Sustainable finance; ESG integration; Green innovation; Environmental governance
Hongsheng Wu,"Data, Operations & Supply Chain, Economics, Healthcare, Technology",clinical trials; health economics; genetics; business analytics; cluster randomized trials; retrospective claims analysis; power calculations; predictive analytics; data exploration; multicenter trial design; gout management; cystic fibrosis treatment; healthcare resource utilization; cost analysis; managed care pharmacy; real-world evidence; precision medicine; genetic epidemiology; pharmacoeconomics
Houman Oliaei,"Economics, Leadership & Organizational Development",Forced displacement; Humanitarian intervention; Ethnoreligious minorities; Post-conflict societies; Identity and belonging; Ethnographic fieldwork; Qualitative interviews; Oral history methodology; Narrative analysis; Participant observation; Humanitarian aid programs; Refugee assistance services; NGO policy development; Human rights advocacy; Post-conflict reconstruction; Politics of recognition; Liminal migration studies; Diaspora memory studies; Trauma-informed ethnography; Post-genocide resilience
Howard Troughton,"Data, Operations & Supply Chain, Technology",Applied Mathematics; Computer Science; Environmental Science; Business Analytics; Predictive Analytics; Statistical Modeling; Machine Learning; Computational Modeling; Wildlife Conservation; Environmental Monitoring; Business Intelligence; Decision Support Systems; Eco-Informatics; Computational Ecology; Data-Driven Conservation; Sustainable Analytics
Jack McCarthy,"Finance, Leadership & Organizational Development",Organizational Behavior; Leadership Development; Team Dynamics; Negotiation Strategies; Decision-making Processes; Financial Inclusion; Experiential Learning; Action Research; Case Study Analysis; Qualitative Interviews; Executive Education; Corporate Finance; Family Business Management; Ecotourism Development; Real Estate Development; Arts-based Leadership; Small-l Leadership; Cross-cultural Leadership; Environmental Education; Financial Inclusion Research
Jaime d'Almeida,"Economics, Entrepreneurship, Finance, Finance & Economics, Law, Technology",Valuation Analysis; Corporate Finance; Entrepreneurship; Public Policy; Economic Consulting; Discounted Cash Flow; Market Multiples; Financial Modeling; Forensic Valuation; Regression Analysis; Private Equity; Investment Banking; Litigation Support; Fraud Examination; Capital Markets; 
James Hoopes,"Economics, Innovation & Strategy",Business Ethics; Corporate Social Responsibility; Family Business; Business History; Leadership Ethics; Case Study Methodology; Historical Analysis; Qualitative Research; Archival Research; Conceptual Analysis; Family Business Management; Islamic Family Firms; Buddhist Economics Innovation; Sustainable Development; Virtuous Capitalism; Sufficiency Economy Philosophy; Social Innovation; Ecological Regeneration
James Hunt,"Entrepreneurship, Leadership & Organizational Development, Sustainability",Organizational Behavior; Leadership Development; Executive Coaching; Strategic Human Resource Management; Sustainability Leadership; Case Study Research; Developmental Coaching; Attribute Analysis; Executive Coaching Tools; Environmental Remediation; Leadership Training; Entrepreneurship Education; Business Coaching; Sustainability Case Studies; Responsible Management Education; Entrepreneurial Method Pedagogy; Environmental Photography; Deindustrialization Studies
Jasmina Hasanhodzic,"Economics, Finance, Finance & Economics, Marketing, Retail, Technology",Asset Pricing; Public Finance; Behavioral Finance; Empirical Finance; Market Efficiency; Large-Scale Simulation; Computational Modeling; Quantitative Analysis; Technical Analysis; Retail Investment Products; Hedge Fund Strategies; Portfolio Management; Government Debt Valuation; Finance-Public Finance Interface; Generational Risk Modeling; Behavioral Asset Pricing; Life-Cycle Economics
Jason Mohaghegh,Humanities & Cultural Studies,Comparative literature; Continental philosophy; Aesthetics; Middle Eastern studies; Futures studies; Textual analysis; Critical hermeneutics; Archival research; Speculative philosophy; ; Corona demonology; Omnicide studies; Night philosophy; Speculative aesthetics; Post-violence theory; Chaotic imagination
Jason Wong,"Economics, Entrepreneurship, Finance & Economics, Technology",Applied Microeconomics; Regional Development; Sustainable Development; Environmental Economics; Energy Economics; Urban Economics; Quantitative Methods; Conjoint Analysis; Field Experiments; Experimental Design; Econometric Modeling; Energy Infrastructure; Rural Electrification; Micro-Solar Adoption; Electricity Theft Prevention; Aviation Connectivity; Connectivity Economics; Circular Economy; Sustainable Entrepreneurship; Thermal Ecological Function; Environmental Connectivity
Jay Rao,"Entrepreneurship, Finance, Healthcare, Innovation & Strategy, Marketing, Technology",Innovation Strategy; Corporate Entrepreneurship; Service Strategy; Customer Experience; Culture of Innovation; Lean Six Sigma; Open Innovation; Emergent Strategy; Analytical Strategy; Super-Measure Management; Financial Services; Healthcare Industry; Hospitality Sector; Consumer Goods; Family Business; Digital Transformation; Innovation Ecosystems; Experience Innovation; Crisis-driven Innovation
Jeffrey Shay,"Entrepreneurship, Entrepreneurship & Small Ventures, Operations, Technology",Entrepreneurship; Entrepreneurial Leadership; Strategic Management; International Management; Case Research; Case Methodology; Qualitative Field Studies; Online Case Teaching; Synchronous Instruction; Asynchronous Instruction; Hospitality Management; Shipping and Logistics; Oil and Gas Sector; Insurance Industry; Travel Services; Digital Entrepreneurship; Hybrid Pedagogy; Expatriate Management; Cross-border Startups; Experiential Learning
Jennifer Bingham,"Accounting, Law & Governance, Law",Family law; Matrimonial law; Trust and estate law; Probate law; Alternative dispute resolution; Mediation; Arbitration; Negotiation; Conciliation; Family court proceedings; Probate court proceedings; Estate planning; Continuing legal education; 
Jennifer Ellis,"Innovation & Strategy, Operations, Technology",Operations Management; Information Systems; Supply Chain Management; Project Management; Six Sigma; Lean Manufacturing; IT Portfolio Management; Enterprise Application Deployment; Software Distribution; Automotive Manufacturing; Technology Industry; Management Consulting; Business Process Development; Agile Project Management; Integrated Resource Management
Jerome Taillard,"Finance, Finance & Economics, Law, Technology",corporate finance; corporate governance; financial institutions; investments; risk management; energy finance; empirical analysis; natural experiment; real options analysis; econometric modeling; event study methodology; energy sector; financial institutions; private firms; credit rating agencies; earnings management; inflation adjustments; managerial ownership; corporate hedging
Jessica Burkland,"Leadership & Organizational Development, Technology",Instructional design; Adult learning; Management education; Organizational behavior; Leadership development; ADDIE model; Blended learning; Curriculum development; Training needs assessment; eLearning development; Corporate training; SME training; Managerial training programs; Employee professional development; Organizational learning; Microlearning design; Gamification in training; Adaptive learning systems; Mobile learning; Learning analytics
Jessica Simon,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology",Economics of Education; Education Finance; Gender Studies; Entrepreneurship; Self-Employment; Econometric Modeling; Quantitative Analysis; Survey Data Analysis; Regression Analysis; Higher Education; Educational Management; Small Business Sector; Entrepreneurial Ventures; Gendered Entrepreneurship; Remote Work Dynamics; Entrepreneurial Persistence; Education Analytics
Jia Hao,"Accounting, Finance, Finance & Economics, Law, Operations, Technology",Market microstructure; Corporate finance; Banking risks; Liquidity provision; Financial reporting; Event study methodology; Econometric modeling; Contract theory; Natural experiment analysis; Time-series regression; IPO advisory; Securities regulation; Corporate governance; Exchange operations; Liquidity management; XBRL analytics; Digital disclosure; Regulatory technology; FinTech governance
Jingshu Zhang,"Finance, Finance & Economics, Technology",Materials Science and Engineering; Financial Econometrics; Data Analytics; Commodity Market Analysis; Portfolio Management; Econometric Modeling; Cycle Analysis; Event-Driven Analysis; Financial Modeling; Bottom-Up Valuation; Asset Management; Commodities Trading; Study-Abroad Education; Investment Advisory; Securities Analysis; Event-Driven Value Investing; Cycle-Informed Valuation; Structural Commodity Modeling
Joel Rubano,"Economics, Finance, Finance & Economics, Marketing, Technology",Commodity trading; Risk management; Financial derivatives; Trader development; Managerial economics; Finance pedagogy; Hedging strategy modeling; Derivatives pricing models; Risk management frameworks; Trading simulations; Comparative pedagogical analysis; Experiential learning design; Energy trading; Futures markets; Options markets; Institutional trading; Commodity hedging; Professional trader training; Academic-industry collaboration; Trader education innovation; Experiential finance education; Commodity risk analytics; Interdisciplinary finance research
Joel Shulman,"Entrepreneurship, Finance, Finance & Economics, Law, Sustainability, Technology",Entrepreneurial Finance; Index Investing; International Finance; Asset Management; Corporate Governance; Smart Beta Strategies; Factor Portfolio Analysis; Index Construction; Performance Attribution; Time-Series Modeling; Exchange-Traded Funds; Small Cap Equities; Emerging Market Stocks; Real Estate Investment Trusts; Public Equities; ESG Entrepreneurship; Social Entrepreneurship; Impact Entrepreneurship; Billionaire Indexing; Founder-CEO Factor
John Abbruzzese,"Healthcare, Leadership & Organizational Development, Marketing",Leadership development; Organizational behavior; Adult learning; Curriculum design; Negotiation theory; Transformational coaching; Somatic methodologies; Action learning; Neuroscience-based assessment; Psychological safety interventions; Consumer goods; Management consulting; Cloud computing; Healthcare administration; Space exploration; International development; Neuroleadership; Somatic leadership; Psychological safety frameworks; Systems leadership; Integrative coaching
John Ashburne,"Accounting, Accounting, Law & Governance, Entrepreneurship, Finance, Law, Operations, Technology",Financial Statement Presentation; Discontinued Operations Accounting; Corporate Governance; Managerial Accounting; Entrepreneurial Finance; Archival Data Analysis; Econometric Modeling; Regression Analysis; Empirical Research; Public Company Reporting; Foreign Firms Listing; Strategic Finance Services; Audit and Assurance; 
John Chaimanis,"Finance, Finance & Economics, Sustainability",Sustainable Infrastructure; Environmental Investing; Clean Energy Finance; Sustainable Finance; Institutional Investment; Life Cycle Assessment; Impact Investment Analysis; ESG Metrics Evaluation; Risk Assessment Models; Distributed Market Analysis; University Endowment Management; Renewable Energy Infrastructure; Campus Sustainability; Institutional Infrastructure Funding; Circular Economy Financing; Distributed Energy Markets; Social Impact Investment; Green Infrastructure Finance
John Hallal,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare",Entrepreneurship; Mergers and Acquisitions; Venture Capital; Corporate Finance; Financial Analysis; Due Diligence; Deal Structuring; Negotiation Strategies; Medical Device Manufacturing; Durable Medical Equipment; Cannabis Distribution; Startup Advising; Entrepreneurship Through Acquisition; Angel Investing; Founder-Led Ventures
John Korsak,"Economics, Finance & Economics, Marketing, Technology",Urban Economics; Labor Economics; Applied Microeconomics; Statistical Methodology; Econometric Modeling; Regression Analysis; Applied Econometrics; Urban Planning; Labor Policy Analysis; Political Campaign Management; Software Product Marketing; 
John Marthinsen,"Finance, Finance & Economics, Marketing, Technology",International Macroeconomics; Risk Management; International Finance; Financial Derivatives; Macroeconomic Modeling; Econometric Analysis; Quantitative Risk Modeling; Derivative Pricing; Case Study Research; Banking Sector; Capital Markets; Central Banking; Corporate Finance; Fintech; Central Bank Digital Currencies; Cryptocurrencies; Stablecoins; Blockchain; Digital Platform Economies
John Morgan,"Entrepreneurship, Finance, Finance & Economics, Healthcare, Technology",Corporate finance; Investment management; Strategic management; Global finance; Entrepreneurial finance; Financial modeling; Asset allocation; Portfolio optimization; Risk management; Fundamental analysis; Quantitative analysis; Financial services; Real estate investment; Energy sector; Industrial sector; Healthcare sector; Startup ventures; Alternative investments; Family office strategies; Global small cap funds; Corporate investor relations
Jon Dietrick,"Economics, Humanities & Cultural Studies",Drama and Performance Theory; American Literature; American Realism; Naturalism; Cultural Economy; Literature and Economic Thinking; Textual Analysis; Theatrical Performance Analysis; Economic Criticism; Feminist Criticism; Theatre Production; Academic Publishing; Arts Education; Cultural Institutions; Performance Economics; Money and Mimesis; Feminist Re-Visioning
Jon Hodge,Humanities & Cultural Studies,Victorian literature; Narrative theory; Queer theory; Gender studies; Literary criticism; Textual analysis; Archival research; Close reading; Discourse analysis; Qualitative methodology; Higher education pedagogy; ESL instruction; Academic writing; Curriculum development; Obsessive narrative structures; Cultural obsession studies; Reproductive rights allegory; Queer Victorian studies
Jonathan Sims,"Healthcare, Innovation & Strategy, Technology",Open innovation; Strategic management; Innovation management; Management education; Crowdsourcing; Community-based innovation; Platform analytics; Qualitative case study; Open source software development; Healthcare technology; Corporate R&D; Higher education; Hybrid crowdsourcing; Moonshot innovation; Generative AI in education; Connected commons
Jordan Bessette,Humanities & Cultural Studies,Arts & Humanities; ; ; 
Jordan Escobar,"Humanities & Cultural Studies, Sustainability",Composition Studies; Creative Writing; Literary Analysis; Environmental Humanities; Poetry; Textual Analysis; Rhetorical Analysis; Qualitative Research; Workshop Pedagogy; Higher Education; Academic Publishing; Environmental Advocacy; Creative Workshops; Ecopoetics; Environmental Narrative Theory; Ecohumanities; Climate Storytelling
Jorge Tarzijan,"Innovation & Strategy, Technology",Strategic Management; Business Model Innovation; Corporate Strategy; Organizational Behavior; Economic Behavior; Case Study Research; Game Theoretic Modeling; Qualitative Analysis; Empirical Research; Corporate Transformation; Strategic Consulting; Organizational Development; Digital Business Models; Sustainable Business Models; Interdisciplinary Business Research
Joseph Ricciardi,"Economics, Finance, Finance & Economics, Law",Political economy; History of economic thought; Latin American economics; Monetary policy; Fiscal policy; Financial intermediation; Historical analysis; Comparative political economy; Archival research; Critical discourse analysis; Banking regulation; Financial market intermediation; Economic development policy; Mixed economy management; Hypercapitalism; Access economy; Commons resistance; Financialization of everyday life
Joseph Weintraub,"Finance, Healthcare, Leadership & Organizational Development, Marketing",Organizational Behavior; Leadership Development; Executive Coaching; Project Management; Experiential Learning; Team Dynamics; Action Learning; Psychometric Assessment; 360-Degree Feedback; Developmental Feedback; Healthcare; Pharmaceutical Industry; Financial Services; Telecommunications; Consumer Electronics; Professional Sports; Executive Coaching for Innovation; Organizational Innovation Culture; Business Education Innovation; Adaptive Leadership Development
Josh Staveley,"Economics, Finance, Finance & Economics, Healthcare, Law, Marketing",Macroeconomics; Financial economics; International economics; International finance; Money & banking; Economic education; Experimental economics; Capital asset pricing models; Risk pooling experiments; Classroom demonstrations; Health insurance markets; Bank regulation; Pension schemes; International capital flows; International welfare spillovers; Nonlinear econometrics; Experimental asset pricing
Joshua Lazard,Humanities & Cultural Studies,Church Music; Divinity Studies; Liturgical Theology; Sacred Music; Religious Education; ; ; 
Joshua Stillwagon,"Economics, Finance, Finance & Economics, Technology",International Finance; Financial Economics; Macroeconomics; Behavioral Finance; Big Data Analytics; Non-linear Modeling; Markov Switching Models; Forecasting Techniques; Currency Risk Management; State Budget Forecasting; Energy Policy Analysis; Revenue Forecasting; Imperfect Knowledge Economics; Feedback Effects Analysis; Market Sentiment Analysis; Transdisciplinary Approaches
Joy Ongard,"Economics, Finance & Economics",Economics; ; ; 
Julia Kokina,"Accounting, Accounting, Law & Governance, Finance, Technology",Accounting Information Systems; Management Accounting; Auditing; Internal Control; Robotic Process Automation; Artificial Intelligence; Blockchain Technology; Big Data Analytics; Internal Audit; Risk Management; Corporate Accounting; Public Accounting; Accounting Education; Digital Innovation in Accounting; Cognitive Automation; Automation in Auditing; Digital Labor; Blockchain Adoption
Julie De Zutter,"Leadership & Organizational Development, Technology",Molecular Biology; DNA–Protein Interactions; Homologous Recombination; DNA Repair; Protein-DNA Binding Assays; Electrophoretic Mobility Shift Assay; Site-Directed Mutagenesis; In Vitro Biochemical Assays; Gene Therapy; Cancer Therapeutics; Antimicrobial Development; Biotechnology Tools; Single-Molecule Imaging; Genome Editing; Synthetic Biology; Computational Modeling
Julie Levinson,Humanities & Cultural Studies,film cultural history; narrative theory; documentary film studies; film genre studies; feminist film theory; metafiction; narrative analysis; archival research; film-centered pedagogy; spectatorship analysis; case method teaching; museum curation; film festival programming; arts administration; documentary production; human resource education; temporality studies; media convergence; hybrid documentary; transdisciplinary pedagogy
Kandice Hauf,Humanities & Cultural Studies,Chinese Cultural History; Chinese Philosophy; Gender Studies; Asian Development; Cultural Tourism; Archival Research; Historical Analysis; Comparative Analysis; Critical Inquiry; Experiential Learning; Cultural Heritage Preservation; Tourism Development; Educational Programming; Poverty Alleviation; Women's Empowerment; Death Tourism; Food Pedagogy; Global Culture Production; Transnational Cultural Flows; Girl Effect
Kankana Mukherjee,"Economics, Finance & Economics, Healthcare, Operations, Technology",Applied Microeconomics; Productivity Analysis; Efficiency Analysis; Operations Research; Health Economics; Energy Economics; Data Envelopment Analysis; Directional Distance Functions; Geometric Distance Functions; Nonparametric Efficiency Measures; By-production Approach; Allocative Efficiency Testing; Indian Manufacturing; Hospital Services; Local Health Departments; Medical Insurance; Energy Efficiency; Emerging Economies; Geometric Young Productivity Index; Environmental Efficiency Analysis; Undesirable Output Efficiency; Sustainable Productivity
Kathleen Dean,"Finance, Healthcare, Innovation & Strategy, Sustainability, Technology",Comparative politics; International politics; Postcommunism; Ethnic conflict; Political science; Agile development; Cloud-native architecture; Open-source development; Mobile application development; Systems thinking; Financial services; Employee benefits administration; Health care platforms; Real estate advisory; Sustainable business engagement; Digital innovation; Digital health platforms; Systems thinking for sustainability; Technology workforce diversity
Keith Rollag,"Leadership & Organizational Development, Technology",Organizational behavior; Newcomer socialization; Leadership development; Organizational culture; Social networks; Social network analysis; Case-based learning; Simulation-based training; Experiential learning; Survey research; Employee onboarding; Talent management; Management consulting; Management education; Team performance; Virtual collaboration; Digital onboarding; Social technology adoption; Remote leadership; Online experiential learning
Kellie Donovan,Humanities & Cultural Studies,British and American Romanticism; Gothic Literature; Nineteenth-Century Irish Literature; Irish Literary Revival; Urban Literature and Culture; Women Writers; archival research; close reading; textual analysis; comparative criticism; historical criticism; ; 
