Faculty Name,Profile Interests,Categories,All Keywords
Dessislava Pachamanova,"Computational Finance, Healthcare Operations, Machine Learning, Operations Research, Risk Management, Business Analytics","Artificial Intelligence, Data, Entrepreneurship, Finance, Healthcare, Operations, Operations & Supply Chain, Technology","Business Analytics, Computational Finance, Continuous State MDP Representation, Data Science, Emergency Medicine, Entrepreneurial Prescriptive Analytics, Entrepreneurial Ventures, Financial Services, Healthcare Operations, Humanitarian Analytics, Humanitarian Logistics, Inclusive Operations Management, Machine Learning, Markov Decision Processes, Nonconvex Portfolio Optimization, Operations Research, Optimization Methods, Portfolio Optimization, Prescriptive Analytics, Real-Time Healthcare Analytics, Reinforcement Learning, Risk Management, Supply Chain Management"
Dhruv Grewal,"High Technology Marketing, Marketing, Pricing, Value Based Strategies, Commerce","Artificial Intelligence, Finance, Marketing, Marketing & Consumer Behavior, Operations, Retail, Sustainability, Technology","Consumer journey mapping, Digital retailing, Direct marketing, E-commerce, Experimental design, Eye-tracking, Food supply chain, Generative AI, Multi-method research, Pricing strategies, Retail management, Retailing, Service experience, Services marketing, Shopper marketing, Social media campaigns, Sustainability marketing, Text mining, UN SDGs in marketing, Value-based marketing"
Diana Hechavarria,"Women'S Entrepreneurship, Nascent Ventures, Social Entrepreneurship, Venture Capital, Minority Entrepreneurship","Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Citation Impact Analysis, Cultural Tightness Emancipation, Early-Stage Ventures, Economic Freedom Impacts, Entrepreneurial Ecosystems, Gender and Entrepreneurship, Global Entrepreneurship Monitor, Longitudinal Study, Minority Entrepreneurship, Nonprofit Organizations, Opportunity-to-Necessity Entrepreneurship, Panel Data Analysis, Small Business Economics, Social Entrepreneurship, Strategic Entrepreneurship, Temporal Enactment, Value-Practice Misalignment, Women-Owned Enterprises"
Donna Stoddard,"Electronic Commerce, Information Technology Support For Innovation, Business Process Engineering","Entrepreneurship, Finance, Innovation & Strategy, Operations, Technology","Big Data Analytics, Blockchain Applications, Business Process Engineering, Business Process Reengineering, Case Study Research, Digital Government, Digital Platform Ecosystems, Electronic Commerce, Enterprise Systems, Experiential Learning, Financial Services, Game Theoretic Analysis, GovTech Innovation, Information Technology Innovation, Internet of Things, IT Business Innovation, Manufacturing Industry, Minority Business Enterprises, Public Safety, Social Entrepreneurship, Supply Chain Management"
Douglas Breault,"Painting, Photography, Contemporary Art","Leadership & Organizational Development, Technology","Arts Education, Contemporary Art, Curatorial Studies, Design Software Tools, Digital Imaging, Experimental Photography, Gallery Curation, Interactive Art, Museum Exhibitions, New Media Art, Painting, Painting Techniques, Photography, Photography Processes, Video Art"
Dwight Gertz,Global Strategy,"Entrepreneurship, Leadership & Organizational Development, Operations, Technology","Blended learning, Blended MBA design, Case study analysis, Civil-military relations, Decision-making, Digital experiential learning, Distance learning, Entrepreneurship education, Experiential learning, Hierarchical dissent, Management consulting, Military education, Military leadership, Naval logistics, Organizational behavior, Seminar instruction, Supply chain management, Veteran entrepreneurship"
Ed Brzychcy,"Organizational Behavior, Psychology, Strategy, Leadership Development","Leadership & Organizational Development, Technology","Adaptive Leadership Models, Business Process Optimization, Digital Transformation Leadership, Disruption Strategy, Executive Coaching, Leadership Development, Leadership Training Programs, Management Consulting, Middle-market Enterprises, Organizational Behavior, Organizational Design, Organizational Diagnostics, Psychometric Assessments, Scale-up Implementation, Strategic Agility Practices, Strategic Management, Strategic Planning Frameworks"
Edward Marram,Managing Growing Businesses,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare, Law, Sustainability, Technology","birthdate bias, case study methodology, cleantech sustainability, cleantech ventures, corporate governance, defense technology, empirical research, entrepreneurial performance, entrepreneurship education, entrepreneurship professionalization, government funding startups, green investment sustainability, healthcare governance, higher education management, human assets management, longitudinal analysis, quantitative analysis, small business development, small business entrepreneurship, statistical modeling, survey research, venture capital financing"
Eliana Crosina,"Identity, New Venture Creation & Growth, Qualitative Methods, Entrepreneurial Ecosystems","Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Community Entrepreneurship, Conceptual Modeling, Entrepreneurial Ecosystems, Entrepreneurial Identity, Entrepreneurship Education, Entrepreneurship Training, Experiential Entrepreneurship Education, Experiential Learning, Founder-Venture Identity Dynamics, Identity Dynamics, Identity-Driven Strategy, New Venture Creation, New Venture Strategy, Qualitative Research, Startup Ecosystems, Thematic Analysis"
Elizabeth Milano,"Environmental Science, Global Change Biology, Marine Biology, Oceanography, Climate Science",Leadership & Organizational Development,"Anthropogenic Disturbance Ecology, Benthic Surveys, Coastal Management, Community Ecology, Context-Dependent Dynamics, Ecosystem Resilience, Environmental Monitoring, Field Manipulative Experiments, Fisheries Management, Global Change Biology, Herbivory Assays, Latitudinal Variation Studies, Light Penetration Measurements, Marine Biology, Marine Conservation, Oceanography, Predation Experiments, Rocky Intertidal Ecology"
Elizabeth Randall,,"Finance, Finance & Economics, Technology","Asset Management, Corporate Finance, Econometric Analysis, Endowment Management, Financial Modeling, Fixed Income, Institutional Investment, Investment Management, Investment Strategies, Portfolio Management, Quantitative Analysis, Risk Management, Time Series Analysis"
Elizabeth Swanson,"Culture, History, Human Rights, Literature, Memory, Slavery Studies, African American Literature","Humanities & Cultural Studies, Sustainability, Technology","African American literature, anti-slavery advocacy, archival research, chronotope analysis, cultural studies, digital activism, discourse analysis, diversity equity inclusion, human rights, human rights NGOs, human trafficking prevention, international literature, literary analysis, narrative analysis, non-profit management, oral history methodologies, qualitative case study, sustainability curriculum design, trauma-informed pedagogy, visual testimony analysis"
Elizabeth Young,"Creative Writing, Composition",Humanities & Cultural Studies,"Adult Literacy, Adult Literacy Programs, Composition Studies, Creative Writing, English Literature, Higher Education Teaching, Literary Analysis, Publishing Industry, Research Writing Methods, Workshop-Based Instruction, Writing Pedagogy"
Ellen Milimu,"Global Sports Governance, Human Security, International Political Economy, International Relations, Intersectionality, Politics, Gender","Law, Leadership & Organizational Development, Marketing, Technology","African sports studies, case study methodology, community development, community-based sports, content analysis, digital sports diplomacy, ethnographic fieldwork, global sports governance, nonprofit sports development, political economy of sport, social inclusion programs, social media analytics, sport for development and peace, sports and social change, sports media outreach, sports sociology"
Ellie Kyung,"Digital Interface, Effects Of Memory, Mental Representation On Consumer Judgments, Psychology Of Magnitude Judgments, Response Bias, Scale Design, Communication Design","Artificial Intelligence, Finance, Leadership & Organizational Development, Marketing, Technology","AI in government, communication design, consumer behavior, decision making processes, experimental design, identity-based risk perception, interface prototyping, magnitude judgments, marketing strategy, mental mapping of magnitude, mental representation, psychophysical scaling, reproducibility in management science, response scale design, scale design, survey design, survey methodology, technology interface"
Emily Griffin,"Illicit Supply Chains, Inventory Optimization, Pricing, Resale Supply Chains, Supply Chain Optimization, Business Analytics","Data, Finance, Marketing, Operations, Operations & Supply Chain, Retail, Technology","Analytical Modeling, Clustering Algorithms, Conservation Analytics, Data Science, E-commerce Fulfillment, Interdisciplinary Network Analysis, Inventory Optimization, Mathematical Optimization, Operations Management, Operations Research, Pricing Optimization, Resale Supply Chains, Retail Inventory Management, Simulation Modeling, Stadium Seating Optimization, Supply Chain Analytics, Supply Chain Interdiction, Supply Chain Management, Wildlife Trafficking Analytics, Wildlife Trafficking Supply Chains"
Emily Rosado,,"Healthcare, Leadership & Organizational Development, Technology","Corporate workplace interventions, Diversity management, Employee assistance programs, Human capital networks, Interpersonal workplace relations, Mental illness disclosure, Mixed methods research, Occupational health psychology, Organizational behavior, Quantitative survey research, Relational identity theory, Remote work settings, Social network analysis, Systematic literature review, Virtual team dynamics, Workplace mental health, Workplace social rituals"
Eric Palson,"Design Thinking, Development, Educational Technologies, Innovation, Online, User Interface Design, Web Design, Blended Learning","Artificial Intelligence, Leadership & Organizational Development, Marketing, Technology","Adaptive learning systems, AI-enhanced instruction, Corporate training, Design thinking, Digital marketing, E-learning consulting, Educational technology, Faculty development, Graphic design software, Higher education, Immersive learning environments, Instructional design, Learning analytics, Learning management systems, Online and blended learning, User experience design, Video editing tools, Virtual collaboration platforms, Virtual reality learning, Web development"
Eric Wai,,"Artificial Intelligence, Economics, Leadership & Organizational Development, Technology","AI-driven Policy Analysis, Causal Inference, Causal Machine Learning, Digital Education Interventions, Education Economics, Family Outcomes, Housing Policy, Image Categorization, Image Classification, K-12 Education, Labor Economics, Low-income Housing, Machine Learning, Parental Engagement, Policy Evaluation, Preschool Access, Quasi-experimental Design, Randomized Controlled Trials, Text Classification, Text Mining, Workforce Policy"
Erik Noyes,,"Artificial Intelligence, Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology","AI-driven Business Models, AI-driven Prototyping, Automotive Design, Consumer Electronics, Design Thinking, Entrepreneurship Education, Experiential Learning Methods, Healthcare Innovation, Innovation Management, Interdisciplinary AI Labs, Interdisciplinary Innovation, Interdisciplinary Lab Development, Maker Movement Studies, Mobile Computing, Pedagogical Frameworks, Sensing Systems, Technology Entrepreneurship, Venture Studio Ecosystems"
Erin Degnan,"Housing Market, Real Estate Brokerage, Real Estate Development, Real Estate Finance, Real Estate Law, Real Estate Pedagogy, Analytics","Finance, Finance & Economics, Law, Technology","Commercial Litigation, Commercial Real Estate, DEI in Real Estate, Financial Modeling, Gender and Sexuality Law, Home Building, Housing Markets, Land Development, Legal Research, Market Analysis, Real Estate Analytics, Real Estate Brokerage, Real Estate Development, Real Estate Finance, Real Estate Law, Real Estate Pedagogy, Residential Real Estate, Transaction Structuring"
Farbod Farhadi,,"Data, Healthcare, Operations, Operations & Supply Chain, Technology","Airline Operations, Bibliometric Analysis, Branch-and-Price, Business Intelligence, Complex Network Optimization, Data Science, Economic Forecasting, Genetic Algorithms, Healthcare Operations, Healthcare Scheduling, Human-Centric Scheduling, Location-Allocation Problems, Mathematical Programming, Operations Research, Pandemic Response Analytics, Predictive Modeling, Public Sector Consulting, Transportation Logistics, Transportation Systems"
Fiona Jevon,,"Economics, Innovation & Strategy, Law, Technology","African Studies, Comparative Legal Analysis, Conflict Resource Governance, Digital Outreach Programming, Human Security Framework, Human Security Innovation, ICC Outreach Strategies, International Relations, Migration Studies, Natural Resource Governance, Peace and Security Studies, Policy Analysis, Practice-based Leadership Research, Qualitative Case Study, Qualitative Interviews, Refugee Policy Implementation, Security Governance Reform, Transitional Justice, Witness Protection Programs"
Frederick Opie,"Colonial Africa, Food, Pre, African Diaspora History","Humanities & Cultural Studies, Technology","African Diaspora History, American Cultural History, Archival Research, Civil Rights History, Culinary Tourism, Digital Humanities, Documentary Production, Ethnographic Methods, Food Justice Studies, Food Media Production, Gastronomic Anthropology, Media History Research, Museum Curation, Oral History, Public History Outreach, Southern Foodways"
Gabrielle Clemens,,"Artificial Intelligence, Entrepreneurship, Finance, Innovation & Strategy, Retail, Technology","AI-Driven Retail Transformation, Case Study Method, City-Based Startup Competitiveness, Corporate Strategy, Digital Media, Digital Strategy, Digital Transformation, Entrepreneurial Leadership, Entrepreneurship, Financial Services, Generative AI, Global Entrepreneurship, Industrial Marketplaces, Internet Software, Management Consulting Fieldwork, Online Marketplaces, Peer-to-Peer Lending, Retail Strategy, Startup Ecosystem Development, Strategic Decision Making, Strategic Management, Venture Capital"
Ganesan Shankaranarayanan,"Information Technology, Data Management","Artificial Intelligence, Data, Law, Operations, Operations & Supply Chain, Technology","Blockchain supply chain, Blockchain technology, Collective intelligence analysis, Data management, Data quality, Data quality assessment, Decision support systems, Economic data governance, Educational technology, Game theoretic modeling, Generative AI, Generative AI in education, Information systems, Innovation management, Metadata modeling, Online collective intelligence, Supply chain management, Virtual group collaboration"
Gary Ottley,"Execution, Marketing Strategy, Socially, The Role Of Marketing In Society, Conscious Marketing","Entrepreneurship, Marketing, Marketing & Consumer Behavior, Technology","B2C marketing, Blended learning, Brand activism, Case study methodology, Consumer electronics, Culture wars marketing, Digital marketing pedagogy, Entrepreneurial marketing, Food and beverage, Marketing pedagogy, Marketing strategy, Pedagogical frameworks, Social media analytics, Socially-conscious marketing, Societal marketing, Survey research"
Gaurab Bhardwaj,"Problem Solving, Solving Big Societal Problems, Corporate Decision Making","Entrepreneurship, Healthcare, Innovation & Strategy","Business of humanity, Case study methodology, Chemical industry, Community health, Corporate decision making, Corporate entrepreneurship, Corporate strategy, Decision-making frameworks, Executive education, Field research, Historical research methods, Imagination-based learning, Innovation management, Interdisciplinary problem solving, Narrative analysis, Open innovation methods, Open-source health solutions, Pharmaceutical R&D, Social innovation, Societal problem solving, Strategic problem solving"
Gene Kovacs,"Professor Kovacs' Research Interests Include Intangible Assets, Capital Markets, Corporate Payout Strategy, Financial Instruments, Financial Statement Analysis, Revenue Recognition, Tax Policy, Analyst Estimates","Accounting, Economics, Finance, Law, Law & Governance, Technology","Accounting, Auditing, Capital Markets, Corporate Governance, Corporate Share Repurchases, Corporate Taxation, Damage Quantification, Economic Consulting, Economic Damages, Equity Research, Event Study Analysis, Financial Accounting, Financial Modeling, Financial Statement Analysis, Mergers & Acquisitions, Post-TCJA Tax Analysis, Tax Policy Analysis, Universal Basic Buybacks"
George Recck,"Sports & Statisitcs, Use Of Technology In The Classroom, Business Analytics","Data, Operations, Operations & Supply Chain, Technology","Academic Support Services, Activity-Based Instruction, Adaptive Assessment Systems, Business Analytics, Computational Methods, Computer-Assisted Assessment, Educational Data Mining, Educational Technology, Fantasy Sports Analytics, K-12 School Ranking, Learning Analytics, Operations Management, Quality Control Processes, Quality Technology, Sports Analytics, Sports Performance Modeling, Statistical Education Innovation, Statistics Education, Survey Methodology, University Analytics Centers"
George Steblovsky,,"Artificial Intelligence, Data, Finance, Operations, Operations & Supply Chain, Technology","Applied Mathematics, Artificial Intelligence, Big Data Science, Business Analytics, Data Analytics, Data Visualization, Financial Modeling, Machine Learning, Mathematical Modeling, Operations Research, Optimization Algorithms, Predictive Analytics, Quantitative Methods, Simulation Techniques, Statistical Modeling, Supply Chain Optimization"
Gina O'Connor,"Corporate Entrepreneurship, New Market Creation, Organizational Design For Innovation, Breakthrough Innovation","Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology","Breakthrough Innovation, Capability Assessment, Corporate Entrepreneurship, Corporate-Startup Collaboration, Employee-Driven Entrepreneurship, Healthcare Management, Higher Education, Industrial Marketing, Innovation Intent Leadership, Innovation Management, Organizational Design for Innovation, Product Development, Radical Innovation, Strategic Alliance Analysis, Strategic Framework Development, Systematic Literature Review, Technology Management"
Glenn Migliozzi,"Business Ethics, Esg, Impact Investing, Portfolio Management, Alternative Investments","Finance, Finance & Economics, Sustainability, Technology","Alternative Investments, Asset Management, Business Ethics, Corporate Finance, Corporate Finance Advisory, Credit Risk Modeling, ESG Integration, Financial Education, Financial Literacy, Financial Modeling, Fixed Income, Hedge Fund Strategies, Impact Investing, Nonprofit Investment, Quantitative Portfolio Optimization, Structured Products Analysis, Sustainable Finance"
Gregory Doukas,,"Economics, Humanities & Cultural Studies","African Philosophy, Comparative Philosophy, Creolizing Thought, Critical Theory, Cultural Studies, Curriculum Development, Decolonial Philosophy, Deconstructive Method, Existentialism, Global Affairs, Hermeneutic Analysis, Higher Education, International Relations, Mexican Existentialism, Normative Analysis, Political Theory, Postcolonial Studies, Public Policy, Transnational Feminist Thought, World Philosophies"
Heather Markey,Law,"Accounting, Economics, Finance, Law, Law & Governance","Business ethics, Case study methodology, Doctrinal legal analysis, Estate planning, Estate planning services, Financial planning, Financial services industry, Normative ethical analysis, Policy analysis, Tax advisory, Tax law, Wealth management, Wealth management services"
Heidi Neck,"Entrepreneurial Learning, Entrepreneurship Education, Idea Generation, Mindset, Creativity","Entrepreneurship, Entrepreneurship & Small Ventures, Sustainability, Technology","action learning, case study method, corporate entrepreneurship, creativity in entrepreneurship, design thinking, effectuation theory, entrepreneurial ecosystems, entrepreneurial learning, entrepreneurial mindset, entrepreneurial storytelling, entrepreneurship education, entrepreneurship education technology, experiential learning, fuzzy-set qualitative analysis, small business development, social entrepreneurship, social ventures, sustainability education, venture capital financing"
Helenka Nolan,,"Finance, Finance & Economics, Law, Sustainability, Technology","Business ethics, Corporate energy management, Corporate sustainability, Econometric modeling, Environmental governance, ESG integration, Financial performance, Green innovation, Panel data analysis, Regression analysis, Renewable energy, Renewable energy sector, Statistical correlation, Sustainable finance, Utility companies"
Hongsheng Wu,,"Data, Economics, Healthcare, Operations & Supply Chain, Technology","business analytics, clinical trials, cluster randomized trials, cost analysis, cystic fibrosis treatment, data exploration, genetic epidemiology, genetics, gout management, health economics, healthcare resource utilization, managed care pharmacy, multicenter trial design, pharmacoeconomics, power calculations, precision medicine, predictive analytics, real-world evidence, retrospective claims analysis"
Houman Oliaei,,"Economics, Leadership & Organizational Development","Diaspora memory studies, Ethnographic fieldwork, Ethnoreligious minorities, Forced displacement, Human rights advocacy, Humanitarian aid programs, Humanitarian intervention, Identity and belonging, Liminal migration studies, Narrative analysis, NGO policy development, Oral history methodology, Participant observation, Politics of recognition, Post-conflict reconstruction, Post-conflict societies, Post-genocide resilience, Qualitative interviews, Refugee assistance services, Trauma-informed ethnography"
Howard Troughton,"Environmental Science, Mathematics, Computer Science","Artificial Intelligence, Data, Operations & Supply Chain, Technology","Applied Mathematics, Business Analytics, Business Intelligence, Computational Ecology, Computational Modeling, Computer Science, Data-Driven Conservation, Decision Support Systems, Eco-Informatics, Environmental Monitoring, Environmental Science, Machine Learning, Predictive Analytics, Statistical Modeling, Sustainable Analytics, Wildlife Conservation"
Jack McCarthy,,"Finance, Leadership & Organizational Development","Action Research, Arts-based Leadership, Case Study Analysis, Corporate Finance, Cross-cultural Leadership, Decision-making Processes, Ecotourism Development, Environmental Education, Executive Education, Experiential Learning, Family Business Management, Financial Inclusion, Financial Inclusion Research, Leadership Development, Negotiation Strategies, Organizational Behavior, Qualitative Interviews, Real Estate Development, Small-l Leadership, Team Dynamics"
Jaime d'Almeida,"Corporate Finance, Capital Markets","Economics, Entrepreneurship, Finance, Finance & Economics, Law, Technology","Capital Markets, Corporate Finance, Discounted Cash Flow, Economic Consulting, Entrepreneurship, Financial Modeling, Forensic Valuation, Fraud Examination, Investment Banking, Litigation Support, Market Multiples, Private Equity, Public Policy, Regression Analysis, Valuation Analysis"
James Hoopes,Business History,"Economics, Innovation & Strategy","Archival Research, Buddhist Economics Innovation, Business Ethics, Business History, Case Study Methodology, Conceptual Analysis, Corporate Social Responsibility, Ecological Regeneration, Family Business, Family Business Management, Historical Analysis, Islamic Family Firms, Leadership Ethics, Qualitative Research, Social Innovation, Sufficiency Economy Philosophy, Sustainable Development, Virtuous Capitalism"
James Hunt,"Developmental Coaching, Executive Coaching, Leadership Development, Leadership, Management, Organizational Behavior, Strategic Human Resource Management, Talent Management, Career Management","Entrepreneurship, Leadership & Organizational Development, Sustainability","Attribute Analysis, Business Coaching, Case Study Research, Deindustrialization Studies, Developmental Coaching, Entrepreneurial Method Pedagogy, Entrepreneurship Education, Environmental Photography, Environmental Remediation, Executive Coaching, Executive Coaching Tools, Leadership Development, Leadership Training, Organizational Behavior, Responsible Management Education, Strategic Human Resource Management, Sustainability Case Studies, Sustainability Leadership"
Jasmina Hasanhodzic,"Computational Economics, Investment Management, Macro, Public Finance, Asset Pricing","Economics, Finance, Finance & Economics, Marketing, Retail, Technology","Asset Pricing, Behavioral Asset Pricing, Behavioral Finance, Computational Modeling, Empirical Finance, Finance-Public Finance Interface, Generational Risk Modeling, Government Debt Valuation, Hedge Fund Strategies, Large-Scale Simulation, Life-Cycle Economics, Market Efficiency, Portfolio Management, Public Finance, Quantitative Analysis, Retail Investment Products, Technical Analysis"
Jason Mohaghegh,"Middle Eastern Studies, Modern Philosophy, Comparative Literature",Humanities & Cultural Studies,"Aesthetics, Archival research, Chaotic imagination, Comparative literature, Continental philosophy, Corona demonology, Critical hermeneutics, Futures studies, Middle Eastern studies, Night philosophy, Omnicide studies, Post-violence theory, Speculative aesthetics, Speculative philosophy, Textual analysis"
Jason Wong,"Circular Economy, Climate Change, Connectivity, Development, Energy, Infrastructure, Sustainable Entrepreneurship, Aviation","Economics, Entrepreneurship, Finance & Economics, Technology","Applied Microeconomics, Aviation Connectivity, Circular Economy, Conjoint Analysis, Connectivity Economics, Econometric Modeling, Electricity Theft Prevention, Energy Economics, Energy Infrastructure, Environmental Connectivity, Environmental Economics, Experimental Design, Field Experiments, Micro-Solar Adoption, Quantitative Methods, Regional Development, Rural Electrification, Sustainable Development, Sustainable Entrepreneurship, Thermal Ecological Function, Urban Economics"
Jay Rao,"Culture Of Innovation, Customer Experience Innovation, Innovation Implementation, Innovation Strategy, Scaling, Service Strategies, Corporate Entrepreneurship","Entrepreneurship, Finance, Healthcare, Innovation & Strategy, Marketing, Technology","Analytical Strategy, Consumer Goods, Corporate Entrepreneurship, Crisis-driven Innovation, Culture of Innovation, Customer Experience, Digital Transformation, Emergent Strategy, Experience Innovation, Family Business, Financial Services, Healthcare Industry, Hospitality Sector, Innovation Ecosystems, Innovation Strategy, Lean Six Sigma, Open Innovation, Service Strategy, Super-Measure Management"
Jeffrey Shay,"International Management, Strategic Management, Entrepreneurship","Entrepreneurship, Entrepreneurship & Small Ventures, Operations, Technology","Asynchronous Instruction, Case Methodology, Case Research, Cross-border Startups, Digital Entrepreneurship, Entrepreneurial Leadership, Entrepreneurship, Expatriate Management, Experiential Learning, Hospitality Management, Hybrid Pedagogy, Insurance Industry, International Management, Oil and Gas Sector, Online Case Teaching, Qualitative Field Studies, Shipping and Logistics, Strategic Management, Synchronous Instruction, Travel Services"
Jennifer Bingham,,"Accounting, Law, Law & Governance","Alternative dispute resolution, Arbitration, Conciliation, Continuing legal education, Estate planning, Family court proceedings, Family law, Matrimonial law, Mediation, Negotiation, Probate court proceedings, Probate law, Trust and estate law"
Jennifer Ellis,"General Operations, Project Management, Supply Chain Management, Traditional, Agile","Innovation & Strategy, Operations, Technology","Agile Project Management, Automotive Manufacturing, Business Process Development, Enterprise Application Deployment, Information Systems, Integrated Resource Management, IT Portfolio Management, Lean Manufacturing, Management Consulting, Operations Management, Project Management, Six Sigma, Software Distribution, Supply Chain Management, Technology Industry"
Jerome Taillard,"Corporate Governance, Derivatives, Financial Institutions, Investments, Risk Management, Corporate Finance","Finance, Finance & Economics, Law, Technology","corporate finance, corporate governance, corporate hedging, credit rating agencies, earnings management, econometric modeling, empirical analysis, energy finance, energy sector, event study methodology, financial institutions, inflation adjustments, investments, managerial ownership, natural experiment, private firms, real options analysis, risk management"
Jessica Burkland,"Effective Training, Leadership, Sized Businesses Related To Organizational Behavior, Small To Mid, Teaching Methodologies For Students, Working Professionals, Course Design","Leadership & Organizational Development, Technology","Adaptive learning systems, ADDIE model, Adult learning, Blended learning, Corporate training, Curriculum development, eLearning development, Employee professional development, Gamification in training, Instructional design, Leadership development, Learning analytics, Management education, Managerial training programs, Microlearning design, Mobile learning, Organizational behavior, Organizational learning, SME training, Training needs assessment"
Jessica Simon,"Education Finance, Employment, Entrepreneurship, Gender Studies, Gender, Self, Economics Of Education","Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology","Econometric Modeling, Economics of Education, Education Analytics, Education Finance, Educational Management, Entrepreneurial Persistence, Entrepreneurial Ventures, Entrepreneurship, Gender Studies, Gendered Entrepreneurship, Higher Education, Quantitative Analysis, Regression Analysis, Remote Work Dynamics, Self-Employment, Small Business Sector, Survey Data Analysis"
Jia Hao,"Financial Strategy, Investment Analysis, Risk Management, Trading Mechanisms, Corporate Valuation","Accounting, Finance, Finance & Economics, Law, Operations, Technology","Banking risks, Contract theory, Corporate finance, Corporate governance, Digital disclosure, Econometric modeling, Event study methodology, Exchange operations, Financial reporting, FinTech governance, IPO advisory, Liquidity management, Liquidity provision, Market microstructure, Natural experiment analysis, Regulatory technology, Securities regulation, Time-series regression, XBRL analytics"
Jingshu Zhang,,"Finance, Finance & Economics, Technology","Asset Management, Bottom-Up Valuation, Commodities Trading, Commodity Market Analysis, Cycle Analysis, Cycle-Informed Valuation, Data Analytics, Econometric Modeling, Event-Driven Analysis, Event-Driven Value Investing, Financial Econometrics, Financial Modeling, Investment Advisory, Materials Science and Engineering, Portfolio Management, Securities Analysis, Structural Commodity Modeling, Study-Abroad Education"
Joel Rubano,,"Economics, Finance, Finance & Economics, Marketing, Technology","Academic-industry collaboration, Commodity hedging, Commodity risk analytics, Commodity trading, Comparative pedagogical analysis, Derivatives pricing models, Energy trading, Experiential finance education, Experiential learning design, Finance pedagogy, Financial derivatives, Futures markets, Hedging strategy modeling, Institutional trading, Interdisciplinary finance research, Managerial economics, Options markets, Professional trader training, Risk management, Risk management frameworks, Trader development, Trader education innovation, Trading simulations"
Joel Shulman,"Finance, Global Capital Markets, Public Equities, Entrepreneurship","Entrepreneurship, Finance, Finance & Economics, Law, Sustainability, Technology","Asset Management, Billionaire Indexing, Corporate Governance, Emerging Market Stocks, Entrepreneurial Finance, ESG Entrepreneurship, Exchange-Traded Funds, Factor Portfolio Analysis, Founder-CEO Factor, Impact Entrepreneurship, Index Construction, Index Investing, International Finance, Performance Attribution, Public Equities, Real Estate Investment Trusts, Small Cap Equities, Smart Beta Strategies, Social Entrepreneurship, Time-Series Modeling"
John Abbruzzese,,"Healthcare, Leadership & Organizational Development, Marketing","Action learning, Adult learning, Cloud computing, Consumer goods, Curriculum design, Healthcare administration, Integrative coaching, International development, Leadership development, Management consulting, Negotiation theory, Neuroleadership, Neuroscience-based assessment, Organizational behavior, Psychological safety frameworks, Psychological safety interventions, Somatic leadership, Somatic methodologies, Space exploration, Systems leadership, Transformational coaching"
John Ashburne,"Project Finance, Raising Capital, Credit Risk Analysis","Accounting, Entrepreneurship, Finance, Law, Law & Governance, Operations, Technology","Archival Data Analysis, Audit and Assurance, Corporate Governance, Discontinued Operations Accounting, Econometric Modeling, Empirical Research, Entrepreneurial Finance, Financial Statement Presentation, Foreign Firms Listing, Managerial Accounting, Public Company Reporting, Regression Analysis, Strategic Finance Services"
John Chaimanis,"Investment, Sustainability, Energy","Finance, Finance & Economics, Sustainability","Campus Sustainability, Circular Economy Financing, Clean Energy Finance, Distributed Energy Markets, Distributed Market Analysis, Environmental Investing, ESG Metrics Evaluation, Green Infrastructure Finance, Impact Investment Analysis, Institutional Infrastructure Funding, Institutional Investment, Life Cycle Assessment, Renewable Energy Infrastructure, Risk Assessment Models, Social Impact Investment, Sustainable Finance, Sustainable Infrastructure, University Endowment Management"
John Hallal,,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare","Angel Investing, Cannabis Distribution, Corporate Finance, Deal Structuring, Due Diligence, Durable Medical Equipment, Entrepreneurship, Entrepreneurship Through Acquisition, Financial Analysis, Founder-Led Ventures, Medical Device Manufacturing, Mergers and Acquisitions, Negotiation Strategies, Startup Advising, Venture Capital"
John Korsak,"Labor Economics, Statistical Methodology, Urban Economics, Applied Microeconomics","Economics, Finance & Economics, Marketing, Technology","Applied Econometrics, Applied Microeconomics, Econometric Modeling, Labor Economics, Labor Policy Analysis, Political Campaign Management, Regression Analysis, Software Product Marketing, Statistical Methodology, Urban Economics, Urban Planning"
John Marthinsen,"Economics, International Finance, Swiss Banking, Derivatives","Finance, Finance & Economics, Marketing, Technology","Banking Sector, Blockchain, Capital Markets, Case Study Research, Central Bank Digital Currencies, Central Banking, Corporate Finance, Cryptocurrencies, Derivative Pricing, Digital Platform Economies, Econometric Analysis, Financial Derivatives, Fintech, International Finance, International Macroeconomics, Macroeconomic Modeling, Quantitative Risk Modeling, Risk Management, Stablecoins"
John Morgan,,"Entrepreneurship, Finance, Finance & Economics, Healthcare, Technology","Alternative investments, Asset allocation, Corporate finance, Corporate investor relations, Energy sector, Entrepreneurial finance, Family office strategies, Financial modeling, Financial services, Fundamental analysis, Global finance, Global small cap funds, Healthcare sector, Industrial sector, Investment management, Portfolio optimization, Quantitative analysis, Real estate investment, Risk management, Startup ventures, Strategic management"
